Quan,Khoang_cach_TT_km,Dien_tich_m2,Mat_tien_m,So_tang,So_phong_ngu,So_phong_tam,Do_rong_duong_m,Loai_duong,O_to_vao,Co_Gara,Co_San_thuong,Gan_Metro_Bus,Mat_do_dan_cu,An_ninh,Gan_nghia_trang_bai_rac,Tinh_trang_ngap,Noi_that,Tinh_trang_Dien_Nuoc,Tuoi_nha_nam,Gia_ban_ty
Hai Bà Trưng,3.02,105,5.7,3,5,3,3.9,Đường nhựa,0,0,1,0,Cao,Kém (Hay mất trộm),0,Ngập sâu,Nhà trống,Hay hỏng,30,16.85
Cầu Giấy,7.95,116,4.0,2,3,1,7.2,Đường đất,1,0,0,0,Thấp,Bình thường,0,Ngập nhẹ,Nhà trống,Tốt,3,23.23
Hà Đông,14.4,29,8.0,3,6,3,2.3,Đường bê tông,0,0,1,0,Cao,Bình thường,0,Không ngập,Cơ bản,Tốt,2,2.79
Hoàng Mai,10.17,25,5.9,3,2,1,2.4,Đường bê tông,0,0,1,1,Thấp,Tốt,0,Không ngập,Cơ bản,Tốt,21,3.25
Tây Hồ,7.25,41,4.4,3,3,4,10.4,Đường bê tông,1,0,1,0,Cao,Tốt,0,Không ngập,Đồ gỗ xịn,Tốt,4,14.28
Long Biên,7.09,87,5.7,7,13,4,2.6,Đường bê tông,0,0,1,1,Cao,Rất tốt (VIP),0,Không ngập,Đồ gỗ xịn,Tốt,18,15.47
Hai Bà Trưng,3.75,62,4.8,1,1,1,3.6,Đường nhựa,0,0,0,0,Cao,Bình thường,0,Không ngập,Cơ bản,Tốt,5,12.94
Nam Từ Liêm,12.25,108,4.6,5,8,9,4.8,Đường nhựa,1,1,1,0,Trung bình,Tốt,0,Không ngập,Full cao cấp,Hay hỏng,17,20.09
Thanh Xuân,7.08,76,3.2,6,12,6,3.2,Đường bê tông,0,0,1,1,Thấp,Bình thường,0,Không ngập,Cơ bản,Tốt,6,14.2
Ba Đình,3.18,71,4.5,6,6,4,3.0,Đường bê tông,0,0,1,0,Trung bình,Bình thường,0,Không ngập,Đồ gỗ xịn,Tốt,27,18.67
Hoàn Kiếm,0.21,101,5.3,5,4,1,8.0,Đường nhựa,1,1,1,0,Trung bình,Kém (Hay mất trộm),0,Không ngập,Nhà trống,Tốt,4,68.49
Tây Hồ,6.39,51,3.7,3,4,2,4.1,Đường nhựa,1,0,1,1,Trung bình,Kém (Hay mất trộm),0,Không ngập,Cơ bản,Tốt,8,22.22
Nam Từ Liêm,11.78,60,7.5,1,2,2,4.2,Đường bê tông,1,1,0,0,Trung bình,Bình thường,0,Không ngập,Nhà trống,Tốt,1,10.42
Hai Bà Trưng,3.23,33,7.8,7,11,6,9.7,Đường nhựa,1,0,1,0,Cao,Kém (Hay mất trộm),0,Không ngập,Full cao cấp,Tốt,5,10.7
Nam Từ Liêm,10.67,30,8.0,4,7,3,5.7,Đường nhựa,1,0,1,0,Cao,Bình thường,0,Ngập nhẹ,Full cao cấp,Tốt,22,5.43
Tây Hồ,6.39,67,8.9,8,9,2,9.0,Đường bê tông,1,1,1,0,Thấp,Bình thường,0,Ngập nhẹ,Nhà trống,Tốt,29,24.9
Thanh Xuân,7.4,66,5.2,2,2,1,3.3,Đường bê tông,0,0,0,1,Thấp,Rất tốt (VIP),0,Không ngập,Nhà trống,Tốt,8,13.78
Nam Từ Liêm,14.59,63,3.5,3,2,3,11.7,Đường bê tông,1,0,1,0,Cao,Bình thường,0,Không ngập,Đồ gỗ xịn,Tốt,27,9.33
Cầu Giấy,7.17,111,3.8,3,6,3,1.8,Đường bê tông,0,0,1,0,Cao,Rất tốt (VIP),0,Không ngập,Full cao cấp,Tốt,17,25.57
Long Biên,5.67,91,5.7,8,14,3,7.1,Đường bê tông,1,1,1,0,Trung bình,Kém (Hay mất trộm),0,Không ngập,Nhà trống,Hay hỏng,14,15.83
Hoàng Mai,11.76,60,8.3,3,1,1,9.9,Đường đất,1,1,1,1,Thấp,Kém (Hay mất trộm),0,Không ngập,Đồ gỗ xịn,Tốt,23,10.85
Hai Bà Trưng,2.7,100,8.3,8,11,8,4.7,Đường đất,1,1,1,0,Cao,Tốt,0,Không ngập,Đồ gỗ xịn,Tốt,7,25.95
Cầu Giấy,8.75,76,9.7,3,4,4,3.7,Đường bê tông,0,0,1,0,Thấp,Rất tốt (VIP),0,Không ngập,Đồ gỗ xịn,Tốt,25,15.09
Hoàn Kiếm,0.46,67,4.0,5,1,1,11.6,Đường bê tông,1,0,1,1,Thấp,Tốt,0,Không ngập,Nhà trống,Tốt,6,42.75
Hai Bà Trưng,3.67,25,6.0,8,16,8,10.5,Đường đất,1,0,1,1,Thấp,Bình thường,0,Ngập nhẹ,Đồ gỗ xịn,Hay hỏng,15,7.25
Hai Bà Trưng,3.92,88,6.6,4,3,2,7.3,Đường đất,1,1,1,0,Cao,Bình thường,0,Ngập nhẹ,Đồ gỗ xịn,Tốt,24,24.6
Long Biên,6.41,51,9.6,6,4,5,6.6,Đường đất,1,1,1,1,Trung bình,Tốt,0,Không ngập,Nhà trống,Tốt,0,9.38
Long Biên,13.73,71,3.3,4,4,1,5.8,Đường đất,1,0,1,0,Trung bình,Tốt,1,Không ngập,Nhà trống,Tốt,7,6.54
Hà Đông,12.03,48,9.5,3,4,3,2.9,Đường bê tông,0,0,1,0,Trung bình,Kém (Hay mất trộm),1,Không ngập,Đồ gỗ xịn,Tốt,0,3.1
Hai Bà Trưng,4.86,125,7.8,6,11,9,11.7,Đường đất,1,1,1,0,Trung bình,Kém (Hay mất trộm),0,Không ngập,Full cao cấp,Tốt,30,34.27
Hoàn Kiếm,0.14,32,6.9,7,11,6,9.7,Đường đất,1,0,1,0,Trung bình,Kém (Hay mất trộm),0,Không ngập,Full cao cấp,Tốt,7,18.5
Hoàng Mai,6.78,75,6.6,4,4,4,5.9,Đường bê tông,1,1,1,0,Thấp,Rất tốt (VIP),0,Không ngập,Đồ gỗ xịn,Tốt,26,13.67
Long Biên,7.88,51,4.4,2,2,2,11.5,Đường nhựa,1,0,0,1,Cao,Kém (Hay mất trộm),0,Không ngập,Nhà trống,Tốt,23,10.04
Tây Hồ,5.49,80,5.9,7,4,2,4.6,Đường đất,1,1,1,1,Trung bình,Rất tốt (VIP),0,Không ngập,Cơ bản,Hay hỏng,14,32.09
Tây Hồ,7.76,79,9.0,2,1,1,2.7,Đường bê tông,0,0,0,1,Trung bình,Tốt,1,Ngập nhẹ,Full cao cấp,Tốt,27,17.37
Bắc Từ Liêm,13.12,58,5.4,2,3,2,3.2,Đường bê tông,0,0,0,0,Cao,Rất tốt (VIP),0,Ngập nhẹ,Cơ bản,Tốt,15,5.36
Thanh Xuân,8.45,36,5.5,5,10,6,11.9,Đường bê tông,1,0,1,0,Trung bình,Bình thường,0,Không ngập,Full cao cấp,Tốt,15,8.92
Cầu Giấy,8.02,58,7.9,8,14,12,5.2,Đường bê tông,1,1,1,1,Thấp,Kém (Hay mất trộm),0,Không ngập,Nhà trống,Hay hỏng,30,18.67
Thanh Xuân,6.66,73,5.4,3,5,6,5.0,Đường bê tông,1,1,1,0,Thấp,Kém (Hay mất trộm),0,Ngập nhẹ,Đồ gỗ xịn,Tốt,3,16.67
Tây Hồ,7.76,51,4.4,8,6,1,8.9,Đường nhựa,1,0,1,0,Cao,Tốt,1,Không ngập,Nhà trống,Tốt,3,11.35
Cầu Giấy,8.04,49,5.5,4,7,7,7.3,Đường đất,1,1,1,0,Thấp,Bình thường,0,Ngập sâu,Nhà trống,Tốt,28,8.7
Thanh Xuân,9.97,72,9.6,6,7,5,10.2,Đường đất,1,1,1,0,Thấp,Bình thường,0,Không ngập,Đồ gỗ xịn,Hay hỏng,19,13.34
Tây Hồ,5.75,78,8.2,8,1,2,5.6,Đường bê tông,1,1,1,1,Cao,Kém (Hay mất trộm),0,Không ngập,Nhà trống,Tốt,8,38.21
Ba Đình,4.05,25,4.8,4,8,3,2.3,Đường bê tông,0,0,1,0,Trung bình,Tốt,0,Không ngập,Full cao cấp,Hay hỏng,22,7.17
Hoàn Kiếm,0.32,64,7.1,1,2,1,6.1,Đường nhựa,1,1,0,0,Cao,Rất tốt (VIP),0,Không ngập,Cơ bản,Tốt,1,48.35
Nam Từ Liêm,15.61,25,3.7,6,11,6,6.0,Đường nhựa,1,0,1,0,Cao,Rất tốt (VIP),0,Ngập nhẹ,Full cao cấp,Tốt,23,4.29
Bắc Từ Liêm,15.16,25,5.5,4,4,2,8.7,Đường bê tông,1,0,1,0,Cao,Kém (Hay mất trộm),0,Ngập nhẹ,Đồ gỗ xịn,Hay hỏng,11,2.83
Hoàng Mai,10.19,124,8.4,3,2,3,9.9,Đường bê tông,1,1,1,0,Trung bình,Rất tốt (VIP),0,Không ngập,Đồ gỗ xịn,Tốt,14,20.37
Bắc Từ Liêm,14.33,42,8.9,8,5,3,4.4,Đường nhựa,1,0,1,1,Thấp,Bình thường,0,Không ngập,Full cao cấp,Tốt,6,5.91
Bắc Từ Liêm,15.9,89,5.8,8,3,4,5.5,Đường nhựa,1,1,1,0,Trung bình,Bình thường,0,Không ngập,Cơ bản,Tốt,13,10.26
Tây Hồ,4.4,63,4.2,4,2,1,4.9,Đường nhựa,1,0,1,0,Thấp,Bình thường,0,Không ngập,Full cao cấp,Tốt,4,29.59
Nam Từ Liêm,14.73,79,3.3,5,5,5,2.3,Đường bê tông,0,0,1,0,Trung bình,Kém (Hay mất trộm),0,Ngập nhẹ,Full cao cấp,Tốt,19,9.59
Hoàn Kiếm,1.81,62,3.7,3,5,2,9.6,Đường bê tông,1,0,1,0,Thấp,Tốt,0,Không ngập,Đồ gỗ xịn,Tốt,26,31.48
Tây Hồ,5.08,46,4.5,6,2,3,2.1,Đường bê tông,0,0,1,1,Cao,Bình thường,0,Không ngập,Cơ bản,Tốt,12,13.81
Bắc Từ Liêm,13.97,89,3.7,5,9,6,2.3,Đường bê tông,0,0,1,1,Cao,Kém (Hay mất trộm),0,Không ngập,Full cao cấp,Tốt,14,10.57
Long Biên,9.62,86,9.2,1,1,2,3.8,Đường đất,0,0,0,0,Trung bình,Kém (Hay mất trộm),0,Không ngập,Full cao cấp,Tốt,27,11.18
Nam Từ Liêm,13.91,87,6.1,4,6,4,7.3,Đường bê tông,1,1,1,0,Cao,Kém (Hay mất trộm),0,Không ngập,Full cao cấp,Tốt,4,16.35
Hà Đông,13.95,71,6.8,1,2,3,5.0,Đường bê tông,1,1,0,0,Thấp,Bình thường,0,Không ngập,Nhà trống,Tốt,2,10.75
Long Biên,4.47,48,4.3,1,1,1,4.1,Đường đất,1,0,0,0,Trung bình,Tốt,0,Không ngập,Đồ gỗ xịn,Hay hỏng,28,6.81
Bắc Từ Liêm,15.11,25,9.7,4,5,1,2.2,Đường bê tông,0,0,1,0,Cao,Tốt,0,Không ngập,Đồ gỗ xịn,Tốt,2,2.3
Cầu Giấy,6.92,38,6.8,3,3,1,9.3,Đường đất,1,0,1,0,Trung bình,Tốt,0,Không ngập,Đồ gỗ xịn,Hay hỏng,17,7.66
Long Biên,5.61,63,6.8,3,3,1,2.0,Đường bê tông,0,0,1,1,Thấp,Tốt,0,Không ngập,Đồ gỗ xịn,Tốt,6,9.58
Hoàng Mai,7.95,75,6.7,1,2,3,8.1,Đường bê tông,1,1,0,0,Cao,Tốt,0,Không ngập,Full cao cấp,Tốt,17,15.66
Long Biên,9.23,46,9.2,6,9,4,10.2,Đường bê tông,1,1,1,0,Cao,Tốt,0,Ngập nhẹ,Đồ gỗ xịn,Hay hỏng,13,8.51
Hà Đông,16.2,64,8.1,8,8,2,1.9,Đường bê tông,0,0,1,0,Trung bình,Kém (Hay mất trộm),0,Không ngập,Nhà trống,Tốt,15,6.19
Ba Đình,2.62,102,5.9,5,1,1,10.9,Đường bê tông,1,1,1,0,Thấp,Rất tốt (VIP),0,Không ngập,Full cao cấp,Tốt,21,53.84
Đống Đa,5.73,31,7.5,8,7,6,7.7,Đường đất,1,0,1,1,Thấp,Tốt,0,Không ngập,Đồ gỗ xịn,Hay hỏng,16,7.5
Hai Bà Trưng,4.77,29,5.3,8,10,7,8.7,Đường nhựa,1,0,1,0,Trung bình,Kém (Hay mất trộm),0,Không ngập,Nhà trống,Tốt,20,6.85
Cầu Giấy,6.64,111,3.3,1,2,2,11.2,Đường bê tông,1,0,0,1,Trung bình,Kém (Hay mất trộm),0,Không ngập,Đồ gỗ xịn,Tốt,5,32.09
Hoàn Kiếm,0.41,82,7.4,8,12,8,2.5,Đường bê tông,0,0,1,1,Cao,Rất tốt (VIP),0,Không ngập,Full cao cấp,Tốt,6,54.35
Thanh Xuân,7.59,88,5.5,4,7,4,1.6,Đường bê tông,0,0,1,0,Cao,Tốt,0,Không ngập,Full cao cấp,Tốt,2,15.92
Hai Bà Trưng,3.99,62,3.8,6,7,8,5.6,Đường bê tông,1,0,1,0,Cao,Tốt,0,Không ngập,Cơ bản,Tốt,9,16.61
Bắc Từ Liêm,15.0,76,5.9,8,13,9,4.0,Đường nhựa,1,1,1,0,Thấp,Tốt,0,Không ngập,Full cao cấp,Tốt,14,10.17
Đống Đa,4.59,77,7.2,5,10,4,6.1,Đường đất,1,1,1,0,Thấp,Tốt,0,Không ngập,Cơ bản,Tốt,8,19.88
Hoàng Mai,6.12,119,9.3,7,11,3,10.8,Đường nhựa,1,1,1,1,Cao,Rất tốt (VIP),0,Không ngập,Cơ bản,Tốt,10,27.34
Cầu Giấy,8.91,108,8.2,1,2,3,5.5,Đường nhựa,1,1,0,1,Cao,Rất tốt (VIP),0,Không ngập,Cơ bản,Tốt,27,35.9
Ba Đình,2.17,83,7.6,7,8,1,11.5,Đường nhựa,1,1,1,0,Trung bình,Rất tốt (VIP),0,Không ngập,Đồ gỗ xịn,Tốt,1,37.67
Thanh Xuân,6.96,25,7.4,4,1,1,3.3,Đường bê tông,0,0,1,0,Thấp,Rất tốt (VIP),0,Không ngập,Đồ gỗ xịn,Tốt,29,4.26
Bắc Từ Liêm,15.44,69,6.2,1,1,1,3.2,Đường bê tông,0,0,0,0,Cao,Tốt,0,Không ngập,Đồ gỗ xịn,Hay hỏng,27,5.68
Hà Đông,17.16,102,4.8,5,2,1,8.6,Đường nhựa,1,1,1,1,Trung bình,Rất tốt (VIP),0,Không ngập,Đồ gỗ xịn,Tốt,27,15.93
Tây Hồ,5.58,68,5.8,3,5,4,3.4,Đường bê tông,0,0,1,1,Trung bình,Tốt,0,Không ngập,Đồ gỗ xịn,Hay hỏng,26,22.95
Ba Đình,3.2,88,9.2,1,1,2,11.3,Đường nhựa,1,1,0,0,Thấp,Tốt,0,Không ngập,Nhà trống,Hay hỏng,13,33.72
Hoàng Mai,7.61,81,8.0,5,8,7,5.8,Đường nhựa,1,1,1,0,Thấp,Kém (Hay mất trộm),0,Không ngập,Cơ bản,Hay hỏng,21,13.25
Hoàng Mai,11.08,39,7.5,5,1,1,10.8,Đường đất,1,0,1,0,Thấp,Bình thường,0,Không ngập,Nhà trống,Hay hỏng,17,5.37
Hà Đông,15.53,25,6.9,2,2,3,6.7,Đường nhựa,1,0,0,0,Thấp,Rất tốt (VIP),0,Không ngập,Cơ bản,Hay hỏng,29,3.28
Hoàn Kiếm,0.65,120,3.3,4,7,2,6.8,Đường nhựa,1,0,1,0,Thấp,Tốt,0,Ngập nhẹ,Nhà trống,Hay hỏng,22,69.55
Thanh Xuân,6.78,76,4.0,1,1,1,9.6,Đường nhựa,1,0,0,0,Cao,Rất tốt (VIP),1,Ngập nhẹ,Cơ bản,Tốt,10,12.51
Đống Đa,5.61,80,4.9,4,7,8,2.2,Đường bê tông,0,0,1,0,Thấp,Rất tốt (VIP),0,Ngập nhẹ,Cơ bản,Tốt,26,15.22
Hoàng Mai,7.56,106,10.0,5,8,2,4.5,Đường nhựa,1,1,1,0,Trung bình,Rất tốt (VIP),0,Không ngập,Đồ gỗ xịn,Tốt,8,22.32
Ba Đình,2.58,118,5.3,5,8,7,11.9,Đường đất,1,1,1,1,Trung bình,Kém (Hay mất trộm),0,Không ngập,Cơ bản,Tốt,4,51.38
Ba Đình,3.11,31,7.3,1,1,2,2.5,Đường bê tông,0,0,0,0,Trung bình,Tốt,0,Ngập sâu,Đồ gỗ xịn,Tốt,7,6.83
Bắc Từ Liêm,13.02,95,4.3,3,5,1,8.3,Đường nhựa,1,0,1,0,Trung bình,Bình thường,0,Ngập nhẹ,Cơ bản,Hay hỏng,10,11.02
Hà Đông,18.36,30,6.3,6,5,6,9.0,Đường đất,1,0,1,0,Cao,Kém (Hay mất trộm),0,Không ngập,Đồ gỗ xịn,Tốt,1,3.39
Hoàn Kiếm,0.22,54,5.6,7,11,4,5.8,Đường đất,1,1,1,0,Trung bình,Bình thường,0,Không ngập,Đồ gỗ xịn,Tốt,19,28.73
Long Biên,11.56,25,7.4,5,2,3,6.0,Đường bê tông,1,0,1,0,Cao,Tốt,0,Không ngập,Nhà trống,Tốt,20,4.21
Long Biên,6.53,51,9.5,4,3,4,11.9,Đường đất,1,1,1,0,Thấp,Rất tốt (VIP),0,Ngập nhẹ,Cơ bản,Tốt,22,9.76
Ba Đình,3.78,74,6.2,6,12,4,5.0,Đường nhựa,1,1,1,0,Cao,Tốt,0,Không ngập,Đồ gỗ xịn,Tốt,30,29.1
Hoàng Mai,9.59,83,6.5,4,4,1,8.7,Đường đất,1,1,1,0,Thấp,Rất tốt (VIP),0,Không ngập,Full cao cấp,Tốt,20,17.32
Cầu Giấy,7.63,81,5.0,1,2,2,9.8,Đường đất,1,1,0,0,Thấp,Kém (Hay mất trộm),1,Không ngập,Full cao cấp,Tốt,3,14.63
Hoàn Kiếm,1.51,75,8.6,7,9,4,8.1,Đường nhựa,1,1,1,0,Cao,Bình thường,1,Ngập nhẹ,Cơ bản,Tốt,0,31.28
Đống Đa,3.83,60,8.4,3,6,3,3.9,Đường đất,0,0,1,1,Trung bình,Tốt,0,Không ngập,Cơ bản,Hay hỏng,14,13.5
Đống Đa,5.05,29,5.4,5,8,8,1.8,Đường bê tông,0,0,1,0,Thấp,Rất tốt (VIP),0,Không ngập,Full cao cấp,Tốt,17,7.68
Bắc Từ Liêm,14.56,60,9.1,3,5,3,3.9,Đường đất,0,0,1,0,Cao,Tốt,0,Không ngập,Nhà trống,Tốt,21,5.16
Hà Đông,18.65,49,3.9,8,11,5,5.9,Đường bê tông,1,0,1,1,Trung bình,Tốt,0,Không ngập,Đồ gỗ xịn,Tốt,4,5.98
Bắc Từ Liêm,10.03,34,9.2,2,2,3,4.7,Đường nhựa,1,0,0,0,Cao,Kém (Hay mất trộm),0,Không ngập,Full cao cấp,Tốt,21,4.89
Hà Đông,13.46,78,7.4,6,5,2,9.0,Đường đất,1,1,1,1,Trung bình,Rất tốt (VIP),0,Không ngập,Nhà trống,Tốt,27,13.35
Hoàng Mai,11.6,64,9.4,3,2,2,7.1,Đường đất,1,1,1,0,Trung bình,Bình thường,0,Không ngập,Cơ bản,Tốt,13,9.19
Cầu Giấy,7.63,63,7.9,2,2,2,9.7,Đường nhựa,1,1,0,0,Thấp,Rất tốt (VIP),0,Không ngập,Cơ bản,Hay hỏng,30,19.53
Ba Đình,4.98,120,8.9,4,4,2,2.3,Đường bê tông,0,0,1,0,Thấp,Bình thường,0,Không ngập,Cơ bản,Tốt,4,26.31
Hoàn Kiếm,0.26,68,5.2,7,3,2,5.2,Đường nhựa,1,1,1,0,Cao,Bình thường,0,Không ngập,Full cao cấp,Hay hỏng,20,45.85
Bắc Từ Liêm,10.02,25,7.8,5,2,3,11.5,Đường nhựa,1,0,1,0,Thấp,Bình thường,0,Không ngập,Đồ gỗ xịn,Tốt,20,3.53
Ba Đình,4.84,37,7.5,7,2,1,4.6,Đường nhựa,1,0,1,0,Cao,Tốt,0,Không ngập,Full cao cấp,Tốt,26,12.64
Hoàn Kiếm,1.74,42,9.0,4,7,2,5.8,Đường nhựa,1,0,1,1,Thấp,Tốt,0,Không ngập,Nhà trống,Hay hỏng,18,23.73
Hoàn Kiếm,0.98,110,8.0,2,1,2,3.1,Đường bê tông,0,0,0,0,Cao,Kém (Hay mất trộm),0,Không ngập,Cơ bản,Hay hỏng,28,43.15
Đống Đa,3.5,25,4.0,2,2,2,4.4,Đường đất,1,0,0,0,Cao,Tốt,0,Không ngập,Cơ bản,Hay hỏng,11,6.4
Thanh Xuân,6.8,48,5.7,6,5,3,3.5,Đường bê tông,0,0,1,0,Thấp,Rất tốt (VIP),0,Không ngập,Đồ gỗ xịn,Tốt,24,8.15
Hà Đông,17.47,25,4.7,2,1,2,2.2,Đường bê tông,0,0,0,0,Trung bình,Rất tốt (VIP),0,Không ngập,Nhà trống,Tốt,4,2.25
Hoàn Kiếm,0.59,64,9.8,4,4,4,9.7,Đường đất,1,1,1,0,Thấp,Rất tốt (VIP),0,Ngập nhẹ,Cơ bản,Tốt,21,38.12
Hà Đông,16.42,60,7.4,2,3,1,5.8,Đường nhựa,1,1,0,0,Thấp,Kém (Hay mất trộm),0,Không ngập,Nhà trống,Tốt,11,7.93
Hoàn Kiếm,0.11,25,6.4,8,8,4,8.9,Đường đất,1,0,1,0,Thấp,Kém (Hay mất trộm),0,Không ngập,Nhà trống,Hay hỏng,11,11.86
Hà Đông,15.64,53,8.7,7,14,6,5.8,Đường nhựa,1,1,1,0,Cao,Rất tốt (VIP),0,Ngập nhẹ,Nhà trống,Hay hỏng,12,7.87
Bắc Từ Liêm,11.98,27,6.7,3,6,2,5.4,Đường bê tông,1,0,1,0,Trung bình,Kém (Hay mất trộm),0,Không ngập,Đồ gỗ xịn,Tốt,8,3.62
Thanh Xuân,8.05,76,5.1,8,1,2,5.6,Đường đất,1,1,1,0,Trung bình,Kém (Hay mất trộm),0,Không ngập,Full cao cấp,Tốt,13,16.08
Hoàn Kiếm,1.81,25,8.3,7,9,7,3.9,Đường đất,0,0,1,0,Cao,Rất tốt (VIP),0,Không ngập,Nhà trống,Tốt,29,10.29
Bắc Từ Liêm,10.7,67,5.6,6,10,9,4.7,Đường nhựa,1,1,1,0,Thấp,Bình thường,0,Không ngập,Cơ bản,Tốt,5,9.67
Hà Đông,18.25,29,6.5,2,1,1,6.6,Đường bê tông,1,0,0,0,Thấp,Rất tốt (VIP),0,Không ngập,Full cao cấp,Tốt,27,3.97
Cầu Giấy,6.16,88,3.4,3,4,2,9.8,Đường nhựa,1,0,1,0,Thấp,Bình thường,0,Không ngập,Đồ gỗ xịn,Hay hỏng,12,22.3
Bắc Từ Liêm,14.14,51,7.0,8,10,8,3.8,Đường đất,0,0,1,0,Trung bình,Rất tốt (VIP),0,Không ngập,Full cao cấp,Tốt,18,5.6
Ba Đình,3.1,63,9.0,8,1,1,2.7,Đường bê tông,0,0,1,0,Cao,Rất tốt (VIP),0,Không ngập,Nhà trống,Tốt,10,18.0
Hai Bà Trưng,3.95,25,7.3,3,4,2,9.2,Đường nhựa,1,0,1,0,Trung bình,Kém (Hay mất trộm),0,Không ngập,Nhà trống,Tốt,4,6.1
Hà Đông,17.64,53,5.1,4,3,4,6.2,Đường nhựa,1,1,1,1,Thấp,Rất tốt (VIP),0,Không ngập,Full cao cấp,Hay hỏng,30,9.71
Tây Hồ,6.66,25,9.7,4,1,1,6.7,Đường nhựa,1,0,1,0,Trung bình,Tốt,1,Không ngập,Đồ gỗ xịn,Hay hỏng,27,6.2
Hoàn Kiếm,0.33,83,6.5,6,2,2,2.7,Đường bê tông,0,0,1,0,Trung bình,Bình thường,0,Không ngập,Đồ gỗ xịn,Hay hỏng,21,33.41
Hoàng Mai,6.18,114,7.5,8,2,1,6.9,Đường bê tông,1,1,1,1,Trung bình,Kém (Hay mất trộm),0,Ngập nhẹ,Cơ bản,Hay hỏng,27,24.77
Cầu Giấy,7.1,103,8.9,8,10,11,7.8,Đường đất,1,1,1,0,Thấp,Kém (Hay mất trộm),0,Không ngập,Full cao cấp,Tốt,8,31.84
Hà Đông,15.55,72,4.6,6,11,2,9.3,Đường nhựa,1,1,1,1,Thấp,Kém (Hay mất trộm),0,Không ngập,Full cao cấp,Tốt,2,13.94
Hai Bà Trưng,4.78,64,5.0,7,3,1,6.3,Đường bê tông,1,1,1,0,Cao,Rất tốt (VIP),0,Ngập nhẹ,Cơ bản,Tốt,4,19.49
Hoàng Mai,9.36,75,8.9,1,1,1,6.1,Đường nhựa,1,1,0,0,Cao,Bình thường,0,Ngập nhẹ,Nhà trống,Hay hỏng,14,11.07
Tây Hồ,4.5,78,9.0,4,4,4,3.6,Đường đất,0,0,1,0,Trung bình,Bình thường,0,Không ngập,Nhà trống,Tốt,11,21.98
Bắc Từ Liêm,15.1,84,7.9,2,4,4,11.6,Đường đất,1,1,0,1,Cao,Rất tốt (VIP),0,Không ngập,Nhà trống,Tốt,19,11.94
Ba Đình,2.71,25,6.8,3,1,1,11.8,Đường nhựa,1,0,1,0,Thấp,Rất tốt (VIP),1,Không ngập,Cơ bản,Tốt,11,6.71
Tây Hồ,5.54,48,5.3,8,11,10,7.1,Đường đất,1,1,1,0,Cao,Kém (Hay mất trộm),0,Không ngập,Đồ gỗ xịn,Tốt,14,16.36
Nam Từ Liêm,10.68,29,7.5,6,3,3,4.5,Đường nhựa,1,0,1,1,Trung bình,Rất tốt (VIP),0,Ngập nhẹ,Nhà trống,Tốt,19,5.93
Hoàng Mai,6.47,120,7.5,7,9,5,10.1,Đường đất,1,1,1,0,Cao,Tốt,0,Không ngập,Nhà trống,Tốt,5,20.22
Tây Hồ,6.77,53,6.5,7,8,1,5.7,Đường bê tông,1,1,1,0,Thấp,Kém (Hay mất trộm),0,Không ngập,Nhà trống,Tốt,21,21.26
Bắc Từ Liêm,11.87,61,9.4,7,4,5,10.9,Đường đất,1,1,1,0,Cao,Kém (Hay mất trộm),0,Không ngập,Cơ bản,Tốt,2,7.71
Ba Đình,3.72,52,5.7,5,1,2,7.3,Đường đất,1,1,1,0,Thấp,Kém (Hay mất trộm),0,Không ngập,Nhà trống,Tốt,0,16.67
Long Biên,11.61,47,9.3,1,2,1,3.1,Đường bê tông,0,0,0,0,Thấp,Tốt,0,Không ngập,Cơ bản,Tốt,10,5.37
Thanh Xuân,8.3,54,5.1,6,9,1,5.3,Đường bê tông,1,1,1,0,Trung bình,Kém (Hay mất trộm),0,Không ngập,Cơ bản,Tốt,25,11.33
Hoàn Kiếm,1.94,25,3.7,8,3,3,3.5,Đường bê tông,0,0,1,1,Trung bình,Bình thường,1,Không ngập,Đồ gỗ xịn,Tốt,15,7.24
Bắc Từ Liêm,15.34,45,3.9,7,10,10,9.2,Đường đất,1,0,1,1,Cao,Tốt,0,Không ngập,Full cao cấp,Tốt,30,6.59
Bắc Từ Liêm,10.6,70,4.3,1,2,2,9.9,Đường nhựa,1,0,0,1,Trung bình,Bình thường,0,Ngập nhẹ,Cơ bản,Tốt,10,11.12
Ba Đình,2.2,42,9.1,6,5,2,3.2,Đường bê tông,0,0,1,1,Cao,Tốt,0,Không ngập,Nhà trống,Hay hỏng,11,11.99
Tây Hồ,5.54,49,7.5,2,1,2,3.5,Đường bê tông,0,0,0,0,Cao,Bình thường,0,Không ngập,Nhà trống,Hay hỏng,11,12.9
Đống Đa,3.78,61,8.9,1,1,2,9.9,Đường nhựa,1,1,0,0,Thấp,Tốt,0,Ngập nhẹ,Đồ gỗ xịn,Hay hỏng,13,16.24
Tây Hồ,5.18,63,3.4,3,2,2,4.9,Đường đất,1,0,1,0,Trung bình,Bình thường,0,Ngập sâu,Full cao cấp,Tốt,6,18.23
Hà Đông,14.84,25,3.8,2,1,1,2.3,Đường bê tông,0,0,0,0,Cao,Rất tốt (VIP),0,Không ngập,Nhà trống,Tốt,4,2.66
Bắc Từ Liêm,10.17,72,3.3,4,5,1,11.2,Đường bê tông,1,0,1,0,Thấp,Bình thường,0,Không ngập,Nhà trống,Tốt,22,9.33
