Quan_Huyen,Dac_diem_khu_vuc,Loai_dat,Loai_duong,Huong_nha,Phap_ly,Mat_do_dan_cu,An_ninh,Gan_Tien_ich,Gan_Giao_thong,Noi_that,Tinh_trang_Dien_Nuoc,Muc_do_xuong_cap,Khoang_cach_TT_km,Dien_tich_m2,Mat_tien_m,So_tang,So_phong_ngu,So_phong_tam,Do_rong_duong_m,Tuoi_nha_nam,O_to_vao,Co_Gara,Co_San_thuong,Gan_nghia_trang_bai_rac,Co_bi_ngap,Gia_ban_ty
Mê Linh,Gan lang nghe,Tho cu + Dat vuon,Duong nhua,Tây Nam,Chờ sổ,Thap,Bình thường,Gần Công viên/Hồ,Xa phương tiện CC,Cơ bản,On dinh,Tot/Moi,21.07,91,9.6,1,2,2,10.4,6,1,1,0,0,0,2.78
Thanh Xuân,Khu dan cu dong duc,Full tho cu,Duong be tong,Đông Nam,Vi bằng,Thap,Kém (Hay trộm cắp),Không gần gì,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Tot/Moi,9.33,46,10.4,8,11,5,3.7,14,1,0,1,0,0,9.84
Chương Mỹ,Trong lang xom,Full tho cu,Duong nhua,Đông Bắc,Sổ đỏ/Sổ hồng,Trung binh,Kém (Hay trộm cắp),Gần Công viên/Hồ,Xa phương tiện CC,Full nội thất cao cấp,Hay hong,Nat/Can dap di,37.61,137,7.0,2,3,4,12.8,24,1,1,1,1,0,2.91
Hà Đông,Gan KCN,Full tho cu,Duong nhua,Tây,Sổ đỏ/Sổ hồng,Thap,Rất tốt (Khu VIP),Không gần gì,Xa phương tiện CC,Cơ bản,On dinh,Tot/Moi,17.01,54,7.8,2,3,1,5.7,12,1,1,1,0,0,7.76
Thanh Trì,Khu dan cu,Full tho cu,Duong nhua,Đông Bắc,Chờ sổ,Cao,Bình thường,Gần Công viên/Hồ,Gần Bến xe Bus,Nhà trống,Can sua chua,Binh thuong,15.16,30,11.0,3,2,3,5.4,21,1,0,1,0,0,2.6
Thường Tín,Trong lang xom,Tho cu + Dat vuon,Duong nhua,Tây,Chờ sổ,Trung binh,Rất tốt (Khu VIP),Gần Bệnh viện,Gần Bến xe Bus,Nhà trống,Can sua chua,Xuong cap nhe,22.79,122,5.9,1,2,1,8.3,20,1,1,0,0,0,3.59
Ba Vì,Trong lang xom,Full tho cu,Duong nhua,Bắc,Hợp đồng mua bán,Trung binh,Bình thường,Gần Bệnh viện,Gần Bến xe Bus,Full nội thất cao cấp,Hay hong,Binh thuong,62.19,93,12.6,3,4,5,7.8,20,1,1,1,0,0,2.17
Phú Xuyên,Trong lang xom,Full tho cu,Duong nhua,Đông Bắc,Sổ đỏ/Sổ hồng,Cao,Bình thường,Gần Bệnh viện,Gần Bến xe Bus,Nội thất cũ nát,Hay hong,Binh thuong,32.56,40,6.3,1,2,2,8.3,26,1,0,0,0,0,1.17
Thanh Oai,Khu dan cu,Full tho cu,Duong nhua,Đông Bắc,Sổ đỏ/Sổ hồng,Thap,Bình thường,Gần Bệnh viện,Gần Bến xe Bus,Nội thất cũ nát,Hay hong,Xuong cap nhe,20.12,104,6.7,4,2,3,6.3,26,1,1,1,0,0,6.34
Bắc Từ Liêm,Khu dau gia,Full tho cu,Duong nhua,Tây Nam,Sổ đỏ/Sổ hồng,Cao,Bình thường,Gần trường học/Chợ,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Tot/Moi,11.65,60,7.8,1,1,1,12.1,3,1,1,0,0,0,11.93
Mỹ Đức,Trong lang xom,Full tho cu,Duong be tong,Đông Bắc,Vi bằng,Trung binh,Bình thường,Gần Công viên/Hồ,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,48.68,40,13.0,2,2,3,3.6,13,1,0,1,0,0,0.84
Mỹ Đức,Gan lang nghe,Tho cu + Dat vuon,Duong be tong,Tây,Chờ sổ,Trung binh,Rất tốt (Khu VIP),Gần Bệnh viện,Gần Metro (Tàu điện),Cơ bản,Hay hong,Binh thuong,58.23,128,7.1,3,3,1,3.6,27,1,1,1,0,0,1.46
Quốc Oai,Trong lang xom,Full tho cu,Duong be tong,Tây,Hợp đồng mua bán,Cao,Rất tốt (Khu VIP),Gần Bệnh viện,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Tot/Moi,21.46,186,11.4,3,5,3,3.9,13,1,1,1,0,0,11.25
Hoàn Kiếm,Khu dan cu dong duc,Full tho cu,Duong be tong,Tây Bắc,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),Gần Bệnh viện,Gần Bến xe Bus,Nội thất cũ nát,Hay hong,Nat/Can dap di,0.0,52,6.0,6,11,10,2.2,16,0,0,1,0,1,13.22
Nam Từ Liêm,Gan KCN,Full tho cu,Duong nhua,Đông,Sổ đỏ/Sổ hồng,Thap,Kém (Hay trộm cắp),Gần trường học/Chợ,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,14.62,63,5.7,1,1,2,7.5,14,1,1,0,1,0,7.18
Chương Mỹ,Trong lang xom,Full tho cu,Duong nhua,Tây,Sổ đỏ/Sổ hồng,Thap,Bình thường,Không gần gì,Xa phương tiện CC,Nội thất cũ nát,On dinh,Xuong cap nhe,28.31,109,8.9,3,4,1,6.7,22,1,1,1,0,0,4.23
Bắc Từ Liêm,Khu dan cu,Full tho cu,Duong be tong,Tây Nam,Sổ đỏ/Sổ hồng,Thap,Tốt,Gần Bệnh viện,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Tot/Moi,12.65,31,11.8,4,6,4,1.7,14,0,0,1,0,1,2.47
Ba Vì,Trong lang xom,Full tho cu,Duong nhua,Đông Bắc,Chờ sổ,Cao,Rất tốt (Khu VIP),Gần Công viên/Hồ,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Nat/Can dap di,55.99,192,8.1,2,3,3,10.9,19,1,1,1,0,0,3.03
Phúc Thọ,Trong lang xom,Tho cu + Dat vuon,Duong nhua,Nam,Sổ đỏ/Sổ hồng,Thap,Kém (Hay trộm cắp),Gần Bệnh viện,Gần Metro (Tàu điện),Nội thất cũ nát,Hay hong,Binh thuong,27.31,94,13.1,1,1,2,13.3,16,1,1,0,0,1,1.73
Hoàng Mai,Khu dan cu dong duc,Full tho cu,Duong nhua,Nam,Sổ đỏ/Sổ hồng,Thap,Bình thường,Gần Công viên/Hồ,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,7.69,90,3.5,8,10,10,6.6,14,1,0,1,0,0,14.17
Phú Xuyên,Trong lang xom,Full tho cu,Duong nhua,Đông Bắc,Sổ đỏ/Sổ hồng,Trung binh,Kém (Hay trộm cắp),Gần trường học/Chợ,Gần Bến xe Bus,Cơ bản,Hay hong,Xuong cap nhe,37.28,109,9.5,3,4,4,5.3,28,1,1,1,0,1,3.25
Quốc Oai,Mat duong Quoc lo,Full tho cu,Duong nhua,Nam,Sổ đỏ/Sổ hồng,Trung binh,Kém (Hay trộm cắp),Gần Bệnh viện,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,22.72,106,13.2,3,5,3,13.1,1,1,1,1,0,0,7.76
Nam Từ Liêm,Khu dan cu,Full tho cu,Duong nhua,Nam,Hợp đồng mua bán,Trung binh,Tốt,Không gần gì,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,12.42,92,7.2,4,4,2,10.2,10,1,1,1,0,0,14.04
Ba Vì,Trong lang xom,Full tho cu,Duong nhua,Đông Bắc,Hợp đồng mua bán,Trung binh,Bình thường,Không gần gì,Xa phương tiện CC,Full nội thất cao cấp,Hay hong,Nat/Can dap di,68.12,40,5.6,3,4,4,9.0,17,1,0,1,0,0,0.69
Thường Tín,Trong lang xom,Full tho cu,Duong nhua,Đông Bắc,Sổ đỏ/Sổ hồng,Trung binh,Tốt,Gần trường học/Chợ,Xa phương tiện CC,Nhà trống,On dinh,Xuong cap nhe,28.07,104,12.9,1,1,1,13.5,16,1,1,0,0,0,5.56
Thanh Oai,Khu dan cu,Full tho cu,Duong nhua,Tây Bắc,Chờ sổ,Cao,Rất tốt (Khu VIP),Gần Công viên/Hồ,Gần Metro (Tàu điện),Cơ bản,Hay hong,Xuong cap nhe,25.74,81,5.6,3,6,2,6.6,21,1,1,1,0,0,5.16
Sơn Tây,Gan lang nghe,Full tho cu,Duong nhua,Tây Bắc,Sổ đỏ/Sổ hồng,Trung binh,Bình thường,Gần trường học/Chợ,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Tot/Moi,47.49,114,10.8,1,2,1,12.8,13,1,1,0,0,0,5.14
Phúc Thọ,Trong lang xom,Tho cu + Dat vuon,Duong be tong,Bắc,Hợp đồng mua bán,Cao,Kém (Hay trộm cắp),Gần trường học/Chợ,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Tot/Moi,37.61,131,5.4,1,1,2,5.0,9,1,1,0,1,1,1.38
Thanh Trì,Khu dau gia,Full tho cu,Duong nhua,Tây Nam,Vi bằng,Thap,Rất tốt (Khu VIP),Gần trường học/Chợ,Gần Bến xe Bus,Cơ bản,Hay hong,Nat/Can dap di,12.84,60,10.2,2,3,4,13.6,21,1,1,1,0,0,5.23
Hà Đông,Khu dan cu,Full tho cu,Duong nhua,Nam,Chờ sổ,Trung binh,Bình thường,Gần Công viên/Hồ,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Nat/Can dap di,16.71,69,11.9,1,1,2,11.1,24,1,1,0,0,0,7.62
Mỹ Đức,Gan lang nghe,Tho cu + Dat vuon,Duong nhua,Đông,Sổ đỏ/Sổ hồng,Trung binh,Rất tốt (Khu VIP),Gần trường học/Chợ,Gần Metro (Tàu điện),Nhà trống,On dinh,Tot/Moi,44.77,139,12.6,1,2,1,7.0,9,1,1,0,1,0,1.23
Ứng Hòa,Trong lang xom,Full tho cu,Duong nhua,Tây Bắc,Sổ đỏ/Sổ hồng,Thap,Kém (Hay trộm cắp),Gần Công viên/Hồ,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,49.33,128,8.8,1,1,2,11.7,9,1,1,0,0,0,3.7
Thường Tín,Trong lang xom,Full tho cu,Duong nhua,Tây,Chờ sổ,Trung binh,Tốt,Gần Công viên/Hồ,Xa phương tiện CC,Nhà trống,On dinh,Binh thuong,26.07,203,8.1,3,3,4,7.5,17,1,1,1,1,0,6.48
Quốc Oai,Mat duong Quoc lo,Tho cu + Dat vuon,Duong be tong,Đông,Chờ sổ,Trung binh,Kém (Hay trộm cắp),Gần Công viên/Hồ,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,32.01,107,6.4,2,1,1,3.5,12,1,1,1,0,0,5.51
Hoài Đức,Khu dan cu,Full tho cu,Duong be tong,Bắc,Sổ đỏ/Sổ hồng,Thap,Bình thường,Gần Bệnh viện,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,17.58,85,8.8,3,6,4,3.5,5,1,1,1,0,0,9.11
Thanh Xuân,Khu dan cu dong duc,Full tho cu,Duong be tong,Nam,Vi bằng,Thap,Tốt,Không gần gì,Xa phương tiện CC,Nội thất cũ nát,On dinh,Tot/Moi,9.25,57,7.0,3,1,1,4.6,14,1,1,1,0,0,15.97
Hoài Đức,Khu dau gia,Tho cu + Dat vuon,Duong be tong,Tây,Sổ đỏ/Sổ hồng,Trung binh,Bình thường,Gần Công viên/Hồ,Xa phương tiện CC,Cơ bản,On dinh,Tot/Moi,20.24,63,10.0,1,2,3,3.2,9,0,0,0,0,0,3.83
Gia Lâm,Khu dau gia,Full tho cu,Duong nhua,Đông,Hợp đồng mua bán,Trung binh,Tốt,Gần trường học/Chợ,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,15.45,99,10.2,5,5,1,7.1,1,1,1,1,1,0,10.29
Đông Anh,Khu dan cu,Full tho cu,Duong be tong,Bắc,Chờ sổ,Trung binh,Tốt,Gần Bệnh viện,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Binh thuong,16.18,30,10.8,3,2,2,3.4,20,0,0,1,0,1,1.99
Mê Linh,Gan lang nghe,Tho cu + Dat vuon,Duong nhua,Nam,Vi bằng,Trung binh,Bình thường,Gần Công viên/Hồ,Gần Bến xe Bus,Nhà trống,Can sua chua,Nat/Can dap di,21.78,158,6.6,1,2,3,7.6,19,1,1,0,0,0,3.71
Sơn Tây,Trong lang xom,Tho cu + Dat vuon,Duong be tong,Đông Bắc,Chờ sổ,Trung binh,Bình thường,Gần Bệnh viện,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,47.39,72,11.6,3,1,2,3.9,5,1,1,1,0,1,1.33
Long Biên,Khu dan cu,Full tho cu,Duong nhua,Đông Nam,Hợp đồng mua bán,Thap,Kém (Hay trộm cắp),Gần trường học/Chợ,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Binh thuong,8.79,90,11.3,3,4,2,5.3,18,1,1,1,0,0,17.34
Bắc Từ Liêm,Khu dau gia,Full tho cu,Duong nhua,Đông Bắc,Sổ đỏ/Sổ hồng,Thap,Rất tốt (Khu VIP),Gần Bệnh viện,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Xuong cap nhe,13.75,80,8.7,1,2,3,8.0,16,1,1,0,0,1,12.33
Ứng Hòa,Trong lang xom,Full tho cu,Duong be tong,Tây,Hợp đồng mua bán,Thap,Kém (Hay trộm cắp),Gần Bệnh viện,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Tot/Moi,36.04,205,13.9,2,2,3,3.2,4,0,0,1,0,0,4.0
Thanh Trì,Khu dau gia,Full tho cu,Duong nhua,Đông Bắc,Sổ đỏ/Sổ hồng,Thap,Rất tốt (Khu VIP),Không gần gì,Gần Bến xe Bus,Cơ bản,Can sua chua,Xuong cap nhe,15.45,76,10.0,3,1,1,8.5,28,1,1,1,0,0,12.3
Chương Mỹ,Trong lang xom,Tho cu + Dat vuon,Duong be tong,Đông,Hợp đồng mua bán,Thap,Kém (Hay trộm cắp),Gần Bệnh viện,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Nat/Can dap di,31.32,96,11.1,2,2,3,3.9,19,1,1,1,0,1,1.49
Hoàng Mai,Khu dan cu dong duc,Full tho cu,Duong nhua,Tây,Chờ sổ,Cao,Kém (Hay trộm cắp),Gần Công viên/Hồ,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Tot/Moi,11.41,89,9.8,5,9,4,13.6,11,1,1,1,0,1,15.3
Phúc Thọ,Trong lang xom,Full tho cu,Duong nhua,Nam,Sổ đỏ/Sổ hồng,Trung binh,Rất tốt (Khu VIP),Gần Bệnh viện,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,25.62,109,5.5,2,1,1,11.6,13,1,1,1,0,0,3.67
Ba Vì,Trong lang xom,Full tho cu,Duong nhua,Tây,Hợp đồng mua bán,Cao,Kém (Hay trộm cắp),Gần Bệnh viện,Gần Bến xe Bus,Nhà trống,Can sua chua,Xuong cap nhe,66.81,180,13.7,2,3,3,10.2,21,1,1,1,0,1,3.92
Phú Xuyên,Gan lang nghe,Tho cu + Dat vuon,Duong be tong,Bắc,Sổ đỏ/Sổ hồng,Thap,Kém (Hay trộm cắp),Không gần gì,Gần Bến xe Bus,Full nội thất cao cấp,Hay hong,Binh thuong,41.74,83,11.9,2,2,3,3.1,19,0,0,1,0,0,1.29
Phúc Thọ,Mat duong Quoc lo,Full tho cu,Duong nhua,Đông Nam,Sổ đỏ/Sổ hồng,Trung binh,Rất tốt (Khu VIP),Gần trường học/Chợ,Gần Metro (Tàu điện),Full nội thất cao cấp,Hay hong,Binh thuong,28.68,113,13.9,3,5,1,6.9,22,1,1,1,0,1,4.18
Thanh Oai,Khu dan cu,Full tho cu,Duong be tong,Bắc,Sổ đỏ/Sổ hồng,Thap,Bình thường,Gần Công viên/Hồ,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Tot/Moi,21.93,93,7.0,4,5,4,3.8,9,1,1,1,0,0,7.34
Bắc Từ Liêm,Khu dan cu,Full tho cu,Duong nhua,Bắc,Sổ đỏ/Sổ hồng,Thap,Bình thường,Gần Bệnh viện,Gần Metro (Tàu điện),Nhà trống,On dinh,Xuong cap nhe,14.52,62,7.2,5,5,2,12.3,29,1,1,1,1,0,5.77
Hoài Đức,Khu dan cu,Full tho cu,Duong nhua,Tây,Vi bằng,Thap,Bình thường,Gần Công viên/Hồ,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,16.36,30,10.8,1,1,1,6.9,9,1,0,0,1,0,2.19
Cầu Giấy,Khu dan cu dong duc,Full tho cu,Duong be tong,Tây,Sổ đỏ/Sổ hồng,Cao,Tốt,Gần Bệnh viện,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,7.43,72,5.6,8,11,10,2.6,1,0,0,1,0,0,18.9
Thanh Oai,Khu dan cu,Full tho cu,Duong nhua,Tây,Sổ đỏ/Sổ hồng,Thap,Tốt,Không gần gì,Xa phương tiện CC,Cơ bản,Can sua chua,Binh thuong,23.84,65,8.6,2,4,2,10.5,20,1,1,1,0,0,4.35
Tây Hồ,Khu dan cu dong duc,Full tho cu,Duong nhua,Tây Nam,Sổ đỏ/Sổ hồng,Cao,Tốt,Không gần gì,Gần Metro (Tàu điện),Nhà trống,On dinh,Nat/Can dap di,5.45,56,5.9,2,3,2,14.5,17,1,1,1,0,0,15.62
Đan Phượng,Khu dan cu,Tho cu + Dat vuon,Duong be tong,Đông Nam,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),Gần Công viên/Hồ,Gần Bến xe Bus,Nhà trống,On dinh,Xuong cap nhe,22.94,30,3.6,1,2,3,2.5,17,0,0,0,0,0,1.27
Hoài Đức,Khu dan cu,Tho cu + Dat vuon,Duong be tong,Tây Nam,Sổ đỏ/Sổ hồng,Trung binh,Tốt,Gần trường học/Chợ,Xa phương tiện CC,Nội thất cũ nát,On dinh,Tot/Moi,23.15,30,10.4,1,1,2,4.8,3,1,0,0,0,0,1.85
Nam Từ Liêm,Gan KCN,Full tho cu,Duong be tong,Đông,Chờ sổ,Thap,Bình thường,Gần Bệnh viện,Gần Bến xe Bus,Nhà trống,Hay hong,Binh thuong,14.48,129,12.0,3,1,2,3.0,21,0,0,1,0,0,15.56
Hai Bà Trưng,Khu dan cu dong duc,Full tho cu,Duong nhua,Đông,Vi bằng,Thap,Tốt,Gần Bệnh viện,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,4.36,52,3.3,5,10,1,12.9,5,1,0,1,0,0,17.89
Sóc Sơn,Trong lang xom,Tho cu + Dat vuon,Duong nhua,Tây Bắc,Chờ sổ,Trung binh,Bình thường,Gần trường học/Chợ,Gần Metro (Tàu điện),Full nội thất cao cấp,Hay hong,Binh thuong,38.27,175,6.9,2,4,4,11.0,30,1,1,1,0,0,4.87
Đan Phượng,Gan KCN,Full tho cu,Duong be tong,Đông Nam,Sổ đỏ/Sổ hồng,Thap,Tốt,Gần Công viên/Hồ,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Tot/Moi,20.14,48,3.6,3,1,2,4.7,13,1,0,1,0,1,3.27
Hai Bà Trưng,Khu dan cu dong duc,Full tho cu,Duong be tong,Bắc,Chờ sổ,Cao,Kém (Hay trộm cắp),Gần Bệnh viện,Xa phương tiện CC,Nội thất cũ nát,On dinh,Tot/Moi,4.59,26,3.5,4,5,2,3.5,13,1,0,1,0,1,6.53
Thanh Trì,Khu dan cu,Full tho cu,Duong nhua,Đông Nam,Sổ đỏ/Sổ hồng,Thap,Kém (Hay trộm cắp),Gần Bệnh viện,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,12.93,30,10.4,1,2,2,9.1,10,1,0,0,0,0,2.89
Hà Đông,Khu dau gia,Tho cu + Dat vuon,Duong nhua,Bắc,Vi bằng,Cao,Bình thường,Gần trường học/Chợ,Xa phương tiện CC,Nội thất cũ nát,On dinh,Tot/Moi,15.48,66,8.8,3,2,3,6.8,6,1,1,1,0,0,8.53
Cầu Giấy,Khu dan cu dong duc,Full tho cu,Duong nhua,Đông,Sổ đỏ/Sổ hồng,Cao,Kém (Hay trộm cắp),Gần trường học/Chợ,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Tot/Moi,6.31,45,10.3,7,7,2,12.5,8,1,0,1,0,0,11.67
Đông Anh,Khu dan cu,Full tho cu,Duong nhua,Tây Nam,Sổ đỏ/Sổ hồng,Cao,Kém (Hay trộm cắp),Gần trường học/Chợ,Gần Metro (Tàu điện),Nhà trống,On dinh,Tot/Moi,16.53,92,8.4,4,3,3,7.6,2,1,1,1,0,0,10.97
Thanh Trì,Khu dau gia,Full tho cu,Duong nhua,Tây Bắc,Hợp đồng mua bán,Cao,Kém (Hay trộm cắp),Gần Công viên/Hồ,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Tot/Moi,12.14,112,6.2,5,2,2,9.3,15,1,1,1,0,0,17.3
Hoàng Mai,Khu dan cu dong duc,Full tho cu,Duong nhua,Đông Nam,Hợp đồng mua bán,Cao,Tốt,Gần trường học/Chợ,Xa phương tiện CC,Full nội thất cao cấp,Can sua chua,Xuong cap nhe,9.26,42,4.9,6,8,8,12.7,18,1,0,1,1,0,4.44
Hà Đông,Gan KCN,Full tho cu,Duong nhua,Tây Nam,Hợp đồng mua bán,Cao,Tốt,Không gần gì,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,17.37,77,5.8,4,6,7,9.1,11,1,1,1,0,0,9.77
Mê Linh,Trong lang xom,Tho cu + Dat vuon,Duong nhua,Đông Bắc,Vi bằng,Thap,Bình thường,Không gần gì,Gần Bến xe Bus,Nhà trống,Can sua chua,Nat/Can dap di,31.47,122,9.7,3,3,2,14.8,26,1,1,1,0,0,3.21
Sóc Sơn,Mat duong Quoc lo,Tho cu + Dat vuon,Duong nhua,Đông Nam,Chờ sổ,Trung binh,Bình thường,Gần Công viên/Hồ,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Binh thuong,33.01,163,12.5,1,2,3,7.9,20,1,1,0,0,0,6.66
Nam Từ Liêm,Khu dau gia,Full tho cu,Duong nhua,Tây Nam,Sổ đỏ/Sổ hồng,Trung binh,Bình thường,Gần Bệnh viện,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,11.48,47,5.3,2,3,3,9.7,11,1,0,1,0,0,10.32
Sơn Tây,Mat duong Quoc lo,Full tho cu,Duong dat,Nam,Hợp đồng mua bán,Thap,Bình thường,Gần trường học/Chợ,Gần Metro (Tàu điện),Nhà trống,Hay hong,Binh thuong,42.73,113,11.5,1,1,1,2.6,17,0,0,0,0,1,2.85
Phú Xuyên,Trong lang xom,Tho cu + Dat vuon,Duong be tong,Tây Bắc,Sổ đỏ/Sổ hồng,Cao,Kém (Hay trộm cắp),Gần trường học/Chợ,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Xuong cap nhe,44.35,187,10.6,1,2,2,3.8,25,1,1,0,0,0,3.55
Đống Đa,Khu dan cu dong duc,Full tho cu,Duong nhua,Tây,Sổ đỏ/Sổ hồng,Trung binh,Bình thường,Gần Bệnh viện,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Tot/Moi,5.11,112,8.7,8,11,2,11.9,1,1,1,1,1,0,26.2
Đống Đa,Khu dan cu dong duc,Full tho cu,Duong nhua,Tây Bắc,Hợp đồng mua bán,Cao,Bình thường,Gần trường học/Chợ,Gần Bến xe Bus,Full nội thất cao cấp,Can sua chua,Xuong cap nhe,4.48,53,3.9,8,3,3,13.4,27,1,0,1,0,0,17.98
Đông Anh,Khu dau gia,Full tho cu,Duong be tong,Đông Bắc,Hợp đồng mua bán,Thap,Kém (Hay trộm cắp),Gần Bệnh viện,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,21.26,122,11.8,2,4,4,2.6,2,0,0,1,0,0,12.58
Hai Bà Trưng,Khu dan cu dong duc,Full tho cu,Duong nhua,Đông,Vi bằng,Cao,Tốt,Gần trường học/Chợ,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Tot/Moi,2.43,85,4.5,2,1,1,7.8,2,1,1,1,0,1,27.38
Sơn Tây,Trong lang xom,Full tho cu,Duong nhua,Đông,Vi bằng,Thap,Rất tốt (Khu VIP),Không gần gì,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Xuong cap nhe,43.47,106,10.5,3,1,2,13.6,21,1,1,1,0,0,4.16
Thường Tín,Mat duong Quoc lo,Tho cu + Dat vuon,Duong nhua,Đông,Sổ đỏ/Sổ hồng,Trung binh,Bình thường,Gần Công viên/Hồ,Xa phương tiện CC,Nội thất cũ nát,On dinh,Binh thuong,25.11,136,7.7,3,2,3,13.0,24,1,1,1,0,0,4.95
Ứng Hòa,Trong lang xom,Tho cu + Dat vuon,Duong nhua,Tây Nam,Hợp đồng mua bán,Thap,Rất tốt (Khu VIP),Gần trường học/Chợ,Gần Metro (Tàu điện),Nhà trống,On dinh,Binh thuong,39.42,52,11.5,2,4,4,12.1,30,1,1,1,0,0,0.82
Phú Xuyên,Gan lang nghe,Full tho cu,Duong nhua,Đông,Vi bằng,Trung binh,Kém (Hay trộm cắp),Không gần gì,Gần Metro (Tàu điện),Full nội thất cao cấp,Can sua chua,Xuong cap nhe,31.57,111,8.9,2,1,2,14.7,20,1,1,1,0,0,4.08
Phúc Thọ,Trong lang xom,Tho cu + Dat vuon,Duong nhua,Đông Bắc,Sổ đỏ/Sổ hồng,Thap,Bình thường,Gần Công viên/Hồ,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Tot/Moi,34.17,53,13.9,2,1,2,6.1,14,1,1,1,0,0,1.02
Cầu Giấy,Khu dan cu dong duc,Full tho cu,Duong be tong,Đông Nam,Sổ đỏ/Sổ hồng,Cao,Kém (Hay trộm cắp),Gần Bệnh viện,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,6.48,28,8.1,6,9,2,4.1,12,1,0,1,0,0,7.67
Hoàng Mai,Khu dan cu dong duc,Full tho cu,Duong nhua,Đông Bắc,Sổ đỏ/Sổ hồng,Trung binh,Tốt,Gần Bệnh viện,Xa phương tiện CC,Nội thất cũ nát,On dinh,Tot/Moi,11.11,35,9.7,3,1,1,7.0,11,1,0,1,0,0,6.98
Đông Anh,Khu dan cu,Full tho cu,Duong nhua,Đông Nam,Sổ đỏ/Sổ hồng,Cao,Kém (Hay trộm cắp),Gần Công viên/Hồ,Xa phương tiện CC,Nội thất cũ nát,Hay hong,Xuong cap nhe,21.43,92,8.6,1,2,1,14.7,28,1,1,0,0,0,11.45
Thường Tín,Trong lang xom,Tho cu + Dat vuon,Duong nhua,Bắc,Sổ đỏ/Sổ hồng,Thap,Kém (Hay trộm cắp),Gần trường học/Chợ,Gần Metro (Tàu điện),Nhà trống,On dinh,Tot/Moi,21.1,123,8.7,1,2,3,10.4,14,1,1,0,0,0,4.08
Đông Anh,Khu dau gia,Full tho cu,Duong nhua,Tây Bắc,Sổ đỏ/Sổ hồng,Trung binh,Tốt,Gần Công viên/Hồ,Xa phương tiện CC,Cơ bản,Can sua chua,Nat/Can dap di,24.51,116,5.6,1,2,3,11.6,19,1,1,0,0,0,13.63
Hoàn Kiếm,Khu dan cu dong duc,Full tho cu,Duong be tong,Bắc,Sổ đỏ/Sổ hồng,Thap,Bình thường,Không gần gì,Gần Metro (Tàu điện),Cơ bản,Hay hong,Xuong cap nhe,0.0,59,11.4,3,1,2,1.8,25,0,0,1,0,1,27.99
Mê Linh,Gan lang nghe,Full tho cu,Duong nhua,Bắc,Sổ đỏ/Sổ hồng,Cao,Tốt,Gần trường học/Chợ,Gần Bến xe Bus,Nhà trống,Hay hong,Xuong cap nhe,22.12,177,11.0,2,1,2,12.6,30,1,1,1,0,1,8.85
