Quan_Huyen,Khoang_cach_TT_km,Dac_diem_khu_vuc,Loai_dat,Dien_tich_m2,Mat_tien_m,So_tang,So_phong_ngu,So_phong_tam,Do_rong_duong_m,Loai_duong,O_to_vao,Co_Gara,Co_San_thuong,Huong_nha,Phap_ly,Mat_do_dan_cu,An_ninh,Gan_nghia_trang_bai_rac,Co_bi_ngap,Gan_Tien_ich,Gan_Giao_thong,Noi_that,Tinh_trang_Dien_Nuoc,Muc_do_xuong_cap,Tuoi_nha_nam,Gia_ban_ty
Đông Anh,14.22,Khu dan cu,Tho cu + Dat vuon,42,3.8,5,7,1,14.9,Duong nhua,1,0,1,Đông Bắc,Sổ đỏ/Sổ hồng,Thap,Kém (Hay trộm cắp),0,0,Không gần gì,Xa phương tiện CC,Cơ bản,On dinh,Xuong cap nhe,23,2.41
Thanh Xuân,6.11,Khu dan cu dong duc,Full tho cu,60,9.6,7,3,2,13.6,Duong nhua,1,1,1,Nam,Vi bằng,Trung binh,Kém (Hay trộm cắp),0,0,Không gần gì,Xa phương tiện CC,Nhà trống,On dinh,Xuong cap nhe,29,15.68
Quốc Oai,24.7,Mat duong Quoc lo,Full tho cu,103,9.9,2,4,2,12.8,Duong nhua,1,1,1,Bắc,Hợp đồng mua bán,Thap,Kém (Hay trộm cắp),0,0,Gần Bệnh viện,Gần Bến xe Bus,Nội thất cũ nát,Can sua chua,Xuong cap nhe,16,7.74
Tây Hồ,4.03,Khu dan cu dong duc,Full tho cu,24,11.4,4,2,3,11.7,Duong nhua,1,0,1,Tây Bắc,Sổ đỏ/Sổ hồng,Cao,Tốt,0,0,Gần trường học/Chợ,Xa phương tiện CC,Nhà trống,On dinh,Xuong cap nhe,27,10.31
Đông Anh,13.89,Khu dan cu,Full tho cu,30,8.9,4,8,8,9.2,Duong nhua,1,0,1,Nam,Hợp đồng mua bán,Thap,Kém (Hay trộm cắp),1,0,Gần Bệnh viện,Xa phương tiện CC,Full nội thất cao cấp,Hay hong,Xuong cap nhe,23,2.08
Cầu Giấy,8.06,Khu dan cu dong duc,Full tho cu,87,5.1,2,3,3,11.5,Duong nhua,1,1,1,Tây Bắc,Sổ đỏ/Sổ hồng,Cao,Bình thường,0,0,Gần Công viên/Hồ,Xa phương tiện CC,Nội thất cũ nát,On dinh,Tot/Moi,2,30.4
Long Biên,13.67,Khu dan cu,Full tho cu,50,3.6,1,2,3,11.9,Duong nhua,1,0,0,Đông Nam,Sổ đỏ/Sổ hồng,Thap,Tốt,0,0,Gần Công viên/Hồ,Xa phương tiện CC,Nội thất cũ nát,On dinh,Xuong cap nhe,20,9.87
Sơn Tây,41.82,Trong lang xom,Tho cu + Dat vuon,50,6.2,1,1,1,9.0,Duong nhua,1,0,0,Tây Nam,Sổ đỏ/Sổ hồng,Trung binh,Rất tốt (Khu VIP),0,0,Không gần gì,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,13,1.05
Thường Tín,33.71,Trong lang xom,Full tho cu,154,7.1,3,2,2,4.2,Duong be tong,1,1,1,Đông,Sổ đỏ/Sổ hồng,Trung binh,Bình thường,0,0,Gần Bệnh viện,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Tot/Moi,6,7.74
Gia Lâm,11.35,Gan KCN,Full tho cu,54,10.8,5,5,3,2.6,Duong be tong,0,0,1,Đông Bắc,Chờ sổ,Cao,Rất tốt (Khu VIP),0,0,Gần Công viên/Hồ,Xa phương tiện CC,Full nội thất cao cấp,Hay hong,Nat/Can dap di,24,2.78
Long Biên,11.71,Khu dan cu,Tho cu + Dat vuon,76,5.1,3,6,5,9.1,Duong nhua,1,1,1,Đông Bắc,Vi bằng,Cao,Bình thường,0,0,Không gần gì,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Xuong cap nhe,27,8.9
Bắc Từ Liêm,15.84,Khu dan cu,Full tho cu,96,7.3,1,2,3,9.7,Duong nhua,1,1,0,Tây Nam,Sổ đỏ/Sổ hồng,Cao,Tốt,0,0,Gần trường học/Chợ,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,11,14.58
Đống Đa,5.88,Khu dan cu dong duc,Full tho cu,29,10.1,4,7,5,11.1,Duong nhua,1,0,1,Đông Nam,Chờ sổ,Cao,Tốt,0,0,Gần Công viên/Hồ,Xa phương tiện CC,Cơ bản,On dinh,Tot/Moi,10,8.86
Ba Đình,3.35,Khu dan cu dong duc,Full tho cu,20,9.7,5,9,9,2.0,Duong be tong,0,0,1,Tây,Hợp đồng mua bán,Trung binh,Bình thường,0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Nhà trống,Hay hong,Xuong cap nhe,28,5.75
Hai Bà Trưng,4.91,Khu dan cu dong duc,Full tho cu,20,6.2,6,6,1,8.9,Duong nhua,1,0,1,Đông Nam,Vi bằng,Trung binh,Bình thường,0,0,Gần trường học/Chợ,Gần Bến xe Bus,Cơ bản,Can sua chua,Xuong cap nhe,29,5.65
Hoàng Mai,9.39,Khu dan cu dong duc,Full tho cu,65,7.8,3,2,2,15.0,Duong nhua,1,1,1,Nam,Vi bằng,Thap,Rất tốt (Khu VIP),0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Cơ bản,Can sua chua,Xuong cap nhe,18,11.71
Đống Đa,5.0,Khu dan cu dong duc,Full tho cu,49,7.8,8,9,3,8.8,Duong nhua,1,0,1,Bắc,Sổ đỏ/Sổ hồng,Trung binh,Rất tốt (Khu VIP),0,0,Gần trường học/Chợ,Xa phương tiện CC,Cơ bản,On dinh,Tot/Moi,5,13.03
Mỹ Đức,58.39,Trong lang xom,Tho cu + Dat vuon,112,11.0,2,2,1,1.6,Duong dat,0,0,1,Bắc,Hợp đồng mua bán,Trung binh,Rất tốt (Khu VIP),0,0,Không gần gì,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Xuong cap nhe,30,0.85
Tây Hồ,7.37,Khu dan cu dong duc,Full tho cu,77,7.1,8,5,4,13.1,Duong nhua,1,1,1,Bắc,Chờ sổ,Trung binh,Tốt,0,0,Không gần gì,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Binh thuong,21,34.17
Hai Bà Trưng,4.13,Khu dan cu dong duc,Full tho cu,20,4.6,5,7,6,6.0,Duong nhua,1,0,1,Bắc,Hợp đồng mua bán,Trung binh,Kém (Hay trộm cắp),0,0,Gần Công viên/Hồ,Xa phương tiện CC,Nội thất cũ nát,On dinh,Tot/Moi,3,6.68
Bắc Từ Liêm,15.95,Khu dan cu,Tho cu + Dat vuon,72,11.5,3,1,1,7.3,Duong nhua,1,1,1,Nam,Sổ đỏ/Sổ hồng,Thap,Tốt,0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Binh thuong,19,6.06
Phú Xuyên,34.14,Trong lang xom,Full tho cu,81,12.4,2,4,4,3.2,Duong be tong,0,0,1,Nam,Sổ đỏ/Sổ hồng,Trung binh,Rất tốt (Khu VIP),0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,3,1.73
Đống Đa,4.39,Khu dan cu dong duc,Full tho cu,51,6.8,2,2,3,7.4,Duong nhua,1,1,1,Tây Bắc,Chờ sổ,Trung binh,Tốt,0,0,Gần Công viên/Hồ,Xa phương tiện CC,Nội thất cũ nát,On dinh,Tot/Moi,9,17.51
Đông Anh,21.57,Khu dan cu,Full tho cu,69,7.3,2,1,2,11.5,Duong nhua,1,1,1,Đông Bắc,Hợp đồng mua bán,Trung binh,Tốt,1,0,Không gần gì,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Binh thuong,23,5.12
Ba Vì,64.68,Gan lang nghe,Full tho cu,57,8.4,1,2,2,9.4,Duong nhua,1,1,0,Đông Bắc,Hợp đồng mua bán,Trung binh,Rất tốt (Khu VIP),0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Xuong cap nhe,25,1.32
Gia Lâm,15.2,Khu dan cu,Full tho cu,91,11.5,5,10,7,8.1,Duong nhua,1,1,1,Đông Nam,Hợp đồng mua bán,Thap,Kém (Hay trộm cắp),0,0,Gần trường học/Chợ,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Tot/Moi,7,12.52
Phúc Thọ,38.07,Gan lang nghe,Tho cu + Dat vuon,161,5.5,2,2,3,6.2,Duong nhua,1,1,1,Đông Bắc,Vi bằng,Trung binh,Kém (Hay trộm cắp),0,0,Không gần gì,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,3,2.97
Thanh Xuân,8.83,Khu dan cu dong duc,Full tho cu,72,10.0,2,1,2,6.9,Duong nhua,1,1,1,Tây Nam,Hợp đồng mua bán,Cao,Tốt,0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Cơ bản,On dinh,Nat/Can dap di,29,12.26
Quốc Oai,34.06,Trong lang xom,Full tho cu,237,12.9,3,4,5,14.0,Duong nhua,1,1,1,Nam,Hợp đồng mua bán,Cao,Kém (Hay trộm cắp),0,0,Không gần gì,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,9,13.77
Ba Đình,4.84,Khu dan cu dong duc,Full tho cu,73,10.2,2,4,4,5.1,Duong nhua,1,1,1,Đông Bắc,Sổ đỏ/Sổ hồng,Cao,Tốt,0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Nhà trống,Hay hong,Nat/Can dap di,25,18.93
Sóc Sơn,27.15,Trong lang xom,Full tho cu,151,7.0,3,6,2,14.3,Duong nhua,1,1,1,Đông Bắc,Hợp đồng mua bán,Thap,Kém (Hay trộm cắp),0,0,Gần Bệnh viện,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Tot/Moi,14,7.46
Chương Mỹ,35.55,Trong lang xom,Tho cu + Dat vuon,119,10.8,3,5,1,11.4,Duong nhua,1,1,1,Nam,Vi bằng,Cao,Bình thường,1,0,Gần Công viên/Hồ,Xa phương tiện CC,Cơ bản,On dinh,Xuong cap nhe,23,1.83
Nam Từ Liêm,10.64,Gan KCN,Tho cu + Dat vuon,43,8.9,2,3,4,2.2,Duong be tong,0,0,1,Đông Bắc,Hợp đồng mua bán,Cao,Bình thường,0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,15,2.67
Phúc Thọ,25.93,Trong lang xom,Full tho cu,186,9.9,2,2,3,10.0,Duong nhua,1,1,1,Tây,Sổ đỏ/Sổ hồng,Cao,Bình thường,0,0,Gần Công viên/Hồ,Xa phương tiện CC,Cơ bản,Hay hong,Binh thuong,17,5.73
Ba Đình,2.37,Khu dan cu dong duc,Full tho cu,50,11.2,3,6,2,5.4,Duong nhua,1,0,1,Tây,Vi bằng,Cao,Bình thường,0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Nhà trống,On dinh,Tot/Moi,14,17.17
Thanh Oai,22.16,Khu dan cu,Full tho cu,81,10.6,2,4,5,7.4,Duong nhua,1,1,1,Bắc,Chờ sổ,Thap,Rất tốt (Khu VIP),0,0,Không gần gì,Xa phương tiện CC,Cơ bản,Hay hong,Xuong cap nhe,18,5.24
Nam Từ Liêm,13.08,Khu dan cu,Full tho cu,30,10.8,3,3,2,13.5,Duong nhua,1,0,1,Bắc,Vi bằng,Thap,Kém (Hay trộm cắp),0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Tot/Moi,13,4.54
Hoài Đức,22.59,Gan KCN,Full tho cu,100,7.1,3,1,1,7.7,Duong nhua,1,1,1,Đông Nam,Sổ đỏ/Sổ hồng,Trung binh,Tốt,0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Full nội thất cao cấp,Can sua chua,Nat/Can dap di,25,5.69
Hoài Đức,22.58,Khu dan cu,Full tho cu,97,10.5,3,4,5,3.4,Duong be tong,0,0,1,Tây Nam,Vi bằng,Cao,Kém (Hay trộm cắp),0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Tot/Moi,10,6.68
Thường Tín,28.47,Mat duong Quoc lo,Tho cu + Dat vuon,77,13.6,2,1,1,3.2,Duong be tong,0,0,1,Đông Nam,Chờ sổ,Cao,Bình thường,0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Full nội thất cao cấp,Hay hong,Binh thuong,19,2.48
Ba Đình,4.44,Khu dan cu dong duc,Full tho cu,20,9.0,6,12,13,12.9,Duong nhua,1,0,1,Đông,Sổ đỏ/Sổ hồng,Trung binh,Bình thường,0,0,Gần Bệnh viện,Xa phương tiện CC,Nội thất cũ nát,On dinh,Tot/Moi,6,7.27
Phú Xuyên,44.49,Gan lang nghe,Tho cu + Dat vuon,40,8.9,3,4,1,4.5,Duong be tong,1,0,1,Bắc,Sổ đỏ/Sổ hồng,Cao,Bình thường,1,1,Không gần gì,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Tot/Moi,4,0.5
Ba Vì,51.97,Mat duong Quoc lo,Tho cu + Dat vuon,165,10.6,2,2,2,5.0,Duong be tong,1,1,1,Tây Bắc,Chờ sổ,Thap,Bình thường,0,1,Gần Bệnh viện,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,5,3.15
Thạch Thất,27.61,Gan lang nghe,Full tho cu,168,13.2,3,3,3,6.4,Duong nhua,1,1,1,Đông Nam,Vi bằng,Trung binh,Tốt,1,1,Gần Công viên/Hồ,Xa phương tiện CC,Nội thất cũ nát,On dinh,Tot/Moi,10,6.96
Ba Vì,46.28,Trong lang xom,Full tho cu,103,13.8,3,5,2,1.8,Duong dat,0,0,1,Bắc,Hợp đồng mua bán,Thap,Kém (Hay trộm cắp),0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Nhà trống,On dinh,Binh thuong,29,1.61
Sóc Sơn,31.59,Gan lang nghe,Full tho cu,130,12.0,1,2,3,12.5,Duong nhua,1,1,0,Đông Nam,Chờ sổ,Thap,Kém (Hay trộm cắp),0,0,Không gần gì,Gần Metro (Tàu điện),Nhà trống,Hay hong,Xuong cap nhe,20,6.45
Thanh Trì,17.81,Khu dan cu,Full tho cu,89,8.4,1,2,1,7.5,Duong nhua,1,1,0,Đông,Sổ đỏ/Sổ hồng,Thap,Kém (Hay trộm cắp),0,1,Không gần gì,Xa phương tiện CC,Nội thất cũ nát,Hay hong,Xuong cap nhe,28,7.76
Đống Đa,5.84,Khu dan cu dong duc,Full tho cu,42,5.2,2,2,2,10.5,Duong nhua,1,0,1,Tây Bắc,Hợp đồng mua bán,Cao,Rất tốt (Khu VIP),0,0,Gần Bệnh viện,Xa phương tiện CC,Full nội thất cao cấp,Can sua chua,Binh thuong,20,12.74
Chương Mỹ,31.23,Gan lang nghe,Full tho cu,91,9.2,1,2,3,5.7,Duong nhua,1,1,0,Tây Nam,Vi bằng,Cao,Kém (Hay trộm cắp),0,0,Gần Bệnh viện,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,8,3.57
Đan Phượng,20.08,Khu dan cu,Full tho cu,87,9.1,4,1,1,5.0,Duong be tong,1,1,1,Đông,Hợp đồng mua bán,Cao,Kém (Hay trộm cắp),0,0,Không gần gì,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,6,8.18
Đông Anh,21.17,Khu dan cu,Full tho cu,92,4.6,3,3,1,8.1,Duong nhua,1,1,1,Đông Bắc,Sổ đỏ/Sổ hồng,Thap,Tốt,0,1,Gần Bệnh viện,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Nat/Can dap di,18,5.5
Thanh Trì,13.66,Khu dan cu,Full tho cu,71,10.4,2,1,2,7.7,Duong nhua,1,1,1,Đông Bắc,Chờ sổ,Thap,Bình thường,0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Cơ bản,Can sua chua,Xuong cap nhe,26,8.0
Đan Phượng,22.76,Khu dan cu,Full tho cu,39,10.4,3,6,6,9.5,Duong nhua,1,0,1,Đông Bắc,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,12,3.06
Tây Hồ,4.19,Khu dan cu dong duc,Full tho cu,40,6.4,4,8,6,4.9,Duong be tong,1,0,1,Tây Nam,Vi bằng,Cao,Tốt,1,1,Không gần gì,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Tot/Moi,4,8.53
Thạch Thất,36.36,Mat duong Quoc lo,Tho cu + Dat vuon,90,12.3,3,3,2,8.8,Duong nhua,1,1,1,Tây,Hợp đồng mua bán,Thap,Bình thường,0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,9,5.05
Đống Đa,5.35,Khu dan cu dong duc,Full tho cu,94,4.8,5,8,3,8.5,Duong nhua,1,1,1,Tây,Vi bằng,Trung binh,Kém (Hay trộm cắp),0,0,Không gần gì,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Tot/Moi,5,29.8
Ba Vì,54.46,Trong lang xom,Full tho cu,40,5.5,3,6,6,3.0,Duong dat,0,0,1,Đông Nam,Sổ đỏ/Sổ hồng,Trung binh,Tốt,0,0,Gần Công viên/Hồ,Xa phương tiện CC,Nhà trống,Hay hong,Xuong cap nhe,20,0.54
Phú Xuyên,34.83,Mat duong Quoc lo,Tho cu + Dat vuon,42,6.4,3,5,5,6.3,Duong nhua,1,0,1,Đông Bắc,Sổ đỏ/Sổ hồng,Thap,Bình thường,0,0,Gần trường học/Chợ,Gần Bến xe Bus,Nhà trống,Can sua chua,Xuong cap nhe,20,1.14
Đông Anh,20.72,Gan KCN,Full tho cu,120,9.6,2,4,4,1.6,Duong be tong,0,0,1,Tây Nam,Sổ đỏ/Sổ hồng,Trung binh,Kém (Hay trộm cắp),0,1,Gần Công viên/Hồ,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,7,7.35
Thường Tín,32.29,Gan lang nghe,Tho cu + Dat vuon,40,5.2,1,2,3,3.1,Duong be tong,0,0,0,Tây,Vi bằng,Thap,Rất tốt (Khu VIP),0,0,Gần Bệnh viện,Xa phương tiện CC,Cơ bản,On dinh,Binh thuong,20,0.88
Phúc Thọ,34.99,Mat duong Quoc lo,Tho cu + Dat vuon,132,8.8,3,3,4,8.3,Duong nhua,1,1,1,Đông,Sổ đỏ/Sổ hồng,Trung binh,Kém (Hay trộm cắp),0,0,Gần trường học/Chợ,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Nat/Can dap di,24,2.78
Thường Tín,34.09,Trong lang xom,Tho cu + Dat vuon,218,7.8,3,6,5,8.2,Duong nhua,1,1,1,Tây Bắc,Hợp đồng mua bán,Cao,Bình thường,0,0,Gần Bệnh viện,Gần Bến xe Bus,Full nội thất cao cấp,Hay hong,Nat/Can dap di,27,3.92
Bắc Từ Liêm,10.48,Khu dau gia,Full tho cu,80,7.1,1,1,1,6.0,Duong nhua,1,1,0,Tây Bắc,Vi bằng,Trung binh,Rất tốt (Khu VIP),0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Nat/Can dap di,19,12.15
Chương Mỹ,38.76,Trong lang xom,Full tho cu,125,5.2,3,5,2,5.7,Duong nhua,1,1,1,Tây,Hợp đồng mua bán,Trung binh,Bình thường,0,0,Gần trường học/Chợ,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,7,4.89
Đan Phượng,18.39,Khu dan cu,Full tho cu,48,5.0,2,3,1,7.4,Duong nhua,1,0,1,Tây Nam,Chờ sổ,Cao,Kém (Hay trộm cắp),0,0,Gần trường học/Chợ,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,2,3.42
Đan Phượng,24.49,Khu dan cu,Full tho cu,77,5.0,3,2,3,1.5,Duong be tong,0,0,1,Nam,Chờ sổ,Cao,Bình thường,0,0,Gần Công viên/Hồ,Xa phương tiện CC,Nội thất cũ nát,On dinh,Binh thuong,20,5.29
Hoàn Kiếm,0.55,Khu dan cu dong duc,Full tho cu,69,11.5,4,8,2,5.0,Duong be tong,1,1,1,Tây Nam,Sổ đỏ/Sổ hồng,Thap,Kém (Hay trộm cắp),0,0,Gần Bệnh viện,Xa phương tiện CC,Nội thất cũ nát,On dinh,Tot/Moi,10,53.68
Ứng Hòa,46.79,Gan lang nghe,Full tho cu,160,12.3,3,1,2,12.4,Duong nhua,1,1,1,Đông,Sổ đỏ/Sổ hồng,Cao,Bình thường,0,0,Không gần gì,Xa phương tiện CC,Cơ bản,On dinh,Tot/Moi,8,4.82
Bắc Từ Liêm,10.9,Khu dan cu,Full tho cu,67,8.9,5,5,3,11.5,Duong nhua,1,1,1,Tây Nam,Sổ đỏ/Sổ hồng,Cao,Kém (Hay trộm cắp),0,0,Gần trường học/Chợ,Gần Bến xe Bus,Nhà trống,Hay hong,Binh thuong,16,10.3
Quốc Oai,32.28,Trong lang xom,Tho cu + Dat vuon,236,10.0,3,4,3,9.2,Duong nhua,1,1,1,Bắc,Hợp đồng mua bán,Thap,Kém (Hay trộm cắp),0,0,Gần trường học/Chợ,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,0,7.13
Mỹ Đức,48.9,Mat duong Quoc lo,Tho cu + Dat vuon,40,10.5,3,5,5,3.5,Duong be tong,1,0,1,Tây,Vi bằng,Thap,Rất tốt (Khu VIP),0,0,Không gần gì,Gần Metro (Tàu điện),Full nội thất cao cấp,Hay hong,Xuong cap nhe,21,0.69
Nam Từ Liêm,11.04,Khu dau gia,Tho cu + Dat vuon,110,5.5,1,1,2,8.4,Duong nhua,1,1,0,Bắc,Sổ đỏ/Sổ hồng,Cao,Kém (Hay trộm cắp),0,0,Gần Bệnh viện,Xa phương tiện CC,Nội thất cũ nát,On dinh,Tot/Moi,13,16.63
Thanh Oai,29.41,Gan KCN,Full tho cu,79,9.6,1,2,1,9.1,Duong nhua,1,1,0,Tây Bắc,Vi bằng,Cao,Rất tốt (Khu VIP),0,0,Không gần gì,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Tot/Moi,1,4.61
Thanh Oai,23.74,Gan KCN,Full tho cu,99,10.9,5,1,1,3.7,Duong be tong,1,1,1,Đông Nam,Chờ sổ,Trung binh,Tốt,0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Binh thuong,30,6.68
Long Biên,9.91,Khu dan cu,Tho cu + Dat vuon,73,9.8,1,1,2,12.7,Duong nhua,1,1,0,Đông Nam,Sổ đỏ/Sổ hồng,Trung binh,Tốt,0,1,Gần trường học/Chợ,Xa phương tiện CC,Nội thất cũ nát,On dinh,Tot/Moi,4,8.62
Thanh Oai,20.9,Khu dan cu,Full tho cu,71,9.6,3,5,3,8.6,Duong nhua,1,1,1,Đông Bắc,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),0,0,Gần trường học/Chợ,Xa phương tiện CC,Nhà trống,Hay hong,Nat/Can dap di,29,3.32
Thường Tín,22.56,Trong lang xom,Full tho cu,86,8.7,3,4,2,4.7,Duong be tong,1,1,1,Tây,Hợp đồng mua bán,Cao,Tốt,0,0,Gần Bệnh viện,Xa phương tiện CC,Cơ bản,On dinh,Tot/Moi,10,4.75
Thanh Xuân,9.42,Khu dan cu dong duc,Full tho cu,99,11.2,6,6,4,9.5,Duong nhua,1,1,1,Đông,Vi bằng,Thap,Kém (Hay trộm cắp),0,0,Không gần gì,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,1,24.79
Ba Đình,3.93,Khu dan cu dong duc,Full tho cu,63,6.2,7,7,4,11.3,Duong nhua,1,1,1,Đông Nam,Hợp đồng mua bán,Cao,Bình thường,1,0,Gần trường học/Chợ,Gần Bến xe Bus,Nội thất cũ nát,Hay hong,Xuong cap nhe,19,19.46
Nam Từ Liêm,11.34,Gan KCN,Full tho cu,65,4.9,2,4,1,4.5,Duong be tong,1,1,1,Nam,Hợp đồng mua bán,Cao,Kém (Hay trộm cắp),0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,1,11.5
Phú Xuyên,31.7,Mat duong Quoc lo,Tho cu + Dat vuon,152,11.6,1,2,3,1.9,Duong dat,0,0,0,Đông,Sổ đỏ/Sổ hồng,Thap,Kém (Hay trộm cắp),0,0,Gần Bệnh viện,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,9,2.86
Đống Đa,4.82,Khu dan cu dong duc,Full tho cu,60,10.1,6,1,2,6.7,Duong nhua,1,1,1,Bắc,Vi bằng,Cao,Tốt,0,0,Gần Bệnh viện,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Nat/Can dap di,24,14.75
Sơn Tây,41.21,Gan lang nghe,Full tho cu,143,10.7,3,1,2,9.3,Duong nhua,1,1,1,Tây Nam,Hợp đồng mua bán,Trung binh,Tốt,0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Tot/Moi,0,5.42
Đan Phượng,23.94,Khu dan cu,Full tho cu,56,11.3,5,10,10,14.3,Duong nhua,1,1,1,Đông Nam,Sổ đỏ/Sổ hồng,Cao,Bình thường,0,0,Không gần gì,Gần Bến xe Bus,Cơ bản,Hay hong,Xuong cap nhe,24,5.02
Thanh Oai,27.53,Khu dan cu,Full tho cu,113,11.6,5,7,8,6.8,Duong nhua,1,1,1,Đông Nam,Sổ đỏ/Sổ hồng,Trung binh,Bình thường,0,0,Gần trường học/Chợ,Gần Bến xe Bus,Nhà trống,Hay hong,Binh thuong,27,8.4
Phúc Thọ,31.13,Trong lang xom,Full tho cu,90,8.4,2,4,1,9.7,Duong nhua,1,1,1,Tây,Vi bằng,Thap,Tốt,0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Cơ bản,Hay hong,Binh thuong,25,3.21
Tây Hồ,4.47,Khu dan cu dong duc,Full tho cu,37,6.9,2,1,1,10.9,Duong nhua,1,0,1,Đông Nam,Vi bằng,Cao,Tốt,0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Xuong cap nhe,22,13.01
Hai Bà Trưng,3.23,Khu dan cu dong duc,Full tho cu,98,3.8,4,3,1,6.5,Duong nhua,1,0,1,Tây,Vi bằng,Trung binh,Tốt,0,0,Không gần gì,Gần Metro (Tàu điện),Cơ bản,On dinh,Binh thuong,28,31.37
Đống Đa,3.8,Khu dan cu dong duc,Full tho cu,75,7.2,4,3,3,13.5,Duong nhua,1,1,1,Đông Nam,Sổ đỏ/Sổ hồng,Thap,Kém (Hay trộm cắp),0,0,Gần trường học/Chợ,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,3,24.22
Phúc Thọ,27.95,Trong lang xom,Tho cu + Dat vuon,154,13.0,3,1,1,3.8,Duong be tong,1,1,1,Tây Bắc,Vi bằng,Thap,Tốt,0,0,Không gần gì,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,11,2.8
Tây Hồ,5.49,Khu dan cu dong duc,Full tho cu,84,8.3,5,3,1,6.1,Duong nhua,1,1,1,Tây,Vi bằng,Cao,Kém (Hay trộm cắp),0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,2,31.97
Quốc Oai,29.94,Trong lang xom,Tho cu + Dat vuon,110,11.7,2,2,3,10.5,Duong nhua,1,1,1,Bắc,Chờ sổ,Thap,Kém (Hay trộm cắp),0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,5,3.69
